id	client_id	path	sentence	age	gender
1239	ara_tst_sp_26	common_voice_ar_19203953.wav	لا بد أنك تمزح!	twenties	male
1050	ara_tst_sp_16	common_voice_ar_21374204.wav	ماذا هناك في حقيبتك ؟	twenties	male
1019	ara_tst_sp_14	common_voice_ar_21310390.wav	لا أحد يملك القمر.	twenties	male
1030	ara_tst_sp_15	common_voice_ar_19204525.wav	كلا الطالبين لم ينجحا الإختبار.	not_defined	not_defined
871	ara_tst_sp_4	common_voice_ar_19947195.wav	القلعة جميلة.	not_defined	not_defined
895	ara_tst_sp_5	common_voice_ar_19274825.wav	.لا يستطيع أحدٌ مساعدتي	twenties	male
904	ara_tst_sp_6	common_voice_ar_19706400.wav	بإمكان بيتي العزف على البيانو.	twenties	female
1065	ara_tst_sp_17	common_voice_ar_19794804.wav	على العموم ، التاريخ يكرّر نفسه.	fourties	male
1042	ara_tst_sp_16	common_voice_ar_21091561.wav	لا يوجد شك.	twenties	male
1106	ara_tst_sp_19	common_voice_ar_19089326.wav	.أخذ الولد يبكي	not_defined	not_defined
1171	ara_tst_sp_23	common_voice_ar_19220443.wav	ألا يمكنك أن تأجلها إلى الغد ؟	not_defined	not_defined
1018	ara_tst_sp_14	common_voice_ar_21310360.wav	.لوني المفضّل هو الأحمر	twenties	male
984	ara_tst_sp_12	common_voice_ar_21101455.wav	أظنه يختلف حين تفكر فيه على المدى البعيد.	twenties	female
964	ara_tst_sp_11	common_voice_ar_19206424.wav	.أخذ أخته معه	not_defined	not_defined
998	ara_tst_sp_13	common_voice_ar_19653516.wav	أظن أنني قد كنت هنا.	teens	male
912	ara_tst_sp_7	common_voice_ar_19897046.wav	بالصحة و العافية!	not_defined	not_defined
1121	ara_tst_sp_20	common_voice_ar_19664726.wav	.لا يمكنني نسيان معروفه	twenties	male
1029	ara_tst_sp_15	common_voice_ar_19204523.wav	هذه السيارة أكبر من تلك.	not_defined	not_defined
1103	ara_tst_sp_19	common_voice_ar_19089321.wav	.أُعجبت عمتي بنجاحي	not_defined	not_defined
1033	ara_tst_sp_15	common_voice_ar_19204547.wav	.احترقت المنازل واحدة تلو الأخرى	not_defined	not_defined
1213	ara_tst_sp_25	common_voice_ar_19220381.wav	.ذلك مثير للإهتمام	twenties	male
944	ara_tst_sp_9	common_voice_ar_19666398.wav	الجو حار جداً.	not_defined	not_defined
925	ara_tst_sp_8	common_voice_ar_19955693.wav	شارك في المظاهرة ما يقارب ألف شخص.	not_defined	not_defined
1095	ara_tst_sp_19	common_voice_ar_19060091.wav	الألمانية ليست لغة سهلة.	not_defined	not_defined
1228	ara_tst_sp_26	common_voice_ar_19203931.wav	أين تلعب التنس ؟	twenties	male
1244	ara_tst_sp_26	common_voice_ar_19203958.wav	عندما كنتُ في الثانويّة ، استيقظتُ السادسةَ كل صباح.	twenties	male
1079	ara_tst_sp_18	common_voice_ar_19204289.wav	يصبح الجو أبرد يوماً بعد يوم.	not_defined	not_defined
1212	ara_tst_sp_25	common_voice_ar_19220379.wav	لم يُقدَّر للبشر إطلاقًا أن يعيشوا إلى الأبد.	twenties	male
1120	ara_tst_sp_20	common_voice_ar_19664723.wav	مللت من الاستماع اليه و هو يتباهى بنفسه.	twenties	male
1179	ara_tst_sp_23	common_voice_ar_19220457.wav	! آه ، هناك فراشة	not_defined	not_defined
932	ara_tst_sp_8	common_voice_ar_19968969.wav	عليك أن ترتاح بعد التمرين.	not_defined	not_defined
851	ara_tst_sp_2	common_voice_ar_19489430.wav	كنت في الجبال.	thirties	male
957	ara_tst_sp_10	common_voice_ar_19233862.wav	هذا زميلي بالمحاضرة	twenties	male
926	ara_tst_sp_8	common_voice_ar_19955695.wav	.هدفي في الحياة هو أن أصبح كاتباً روائياً	not_defined	not_defined
1156	ara_tst_sp_22	common_voice_ar_19204693.wav	بكين هي عاصمة الصين.	not_defined	not_defined
936	ara_tst_sp_8	common_voice_ar_19969091.wav	يجب أن تفي بوعدك.	not_defined	not_defined
873	ara_tst_sp_4	common_voice_ar_19947204.wav	دائماً ما تبقي غرفتها نظيفة.	not_defined	not_defined
966	ara_tst_sp_11	common_voice_ar_19206423.wav	أعطني شيئاً لأكتب عليه.	not_defined	not_defined
885	ara_tst_sp_5	common_voice_ar_19259856.wav	احتاج المزيد من الوقت.	twenties	male
1044	ara_tst_sp_16	common_voice_ar_21315990.wav	أين كتابي ؟	twenties	male
1155	ara_tst_sp_22	common_voice_ar_19204695.wav	ركل الكرة.	not_defined	not_defined
979	ara_tst_sp_12	common_voice_ar_21101359.wav	الشاحنة صدمت الكلب.	twenties	female
1022	ara_tst_sp_14	common_voice_ar_21310486.wav	شاهدت التلفاز هذا الصباح.	twenties	male
927	ara_tst_sp_8	common_voice_ar_19955696.wav	أعطني انطباعك عن هذا الكتاب.	not_defined	not_defined
1002	ara_tst_sp_13	common_voice_ar_19653548.wav	لديك مستقبل مشرق.	teens	male
1063	ara_tst_sp_17	common_voice_ar_19794802.wav	إنها تفضل البقاء في المنزل على الخروج.	fourties	male
832	ara_tst_sp_1	common_voice_ar_19224861.wav	سأترك القرار لك.	not_defined	not_defined
1092	ara_tst_sp_18	common_voice_ar_19204333.wav	صححني إذا كنت مخطئاً.	not_defined	not_defined
1181	ara_tst_sp_23	common_voice_ar_19220470.wav	.أنا أيضاً أحب الموسيقى	not_defined	not_defined
1011	ara_tst_sp_14	common_voice_ar_21308018.wav	هناك الكثير من الورود الحمراء في الحديقة.	twenties	male
1154	ara_tst_sp_22	common_voice_ar_19204677.wav	حبل الكذب صغير	not_defined	not_defined
894	ara_tst_sp_5	common_voice_ar_19274824.wav	.طلينا المنزل باللون الأخضر	twenties	male
1190	ara_tst_sp_24	common_voice_ar_19351497.wav	بدأت صحته تتدهور.	not_defined	not_defined
917	ara_tst_sp_7	common_voice_ar_19897130.wav	برجاء إرفاق شهادة جودة.	not_defined	not_defined
870	ara_tst_sp_4	common_voice_ar_19947194.wav	! يا لها من فتاة جميلة	not_defined	not_defined
1094	ara_tst_sp_19	common_voice_ar_19060089.wav	ماتت عمتي منذ سنتين.	not_defined	not_defined
1175	ara_tst_sp_23	common_voice_ar_19220446.wav	لماذا لم تستطع النوم ليلة أمس ؟	not_defined	not_defined
971	ara_tst_sp_11	common_voice_ar_19206432.wav	كلمة أخرى للكوسة هي الكوسة	not_defined	not_defined
1059	ara_tst_sp_17	common_voice_ar_19794795.wav	.لا أعرف متى جاء بوب إلى اليابان	fourties	male
862	ara_tst_sp_3	common_voice_ar_19728778.wav	أذهبت إلى المدرسة اليوم ؟	twenties	male
1174	ara_tst_sp_23	common_voice_ar_19220471.wav	.عرض هذا النهر ميل	not_defined	not_defined
1205	ara_tst_sp_25	common_voice_ar_19220360.wav	ليس الأمر صعباً كعلم صناعة الصواريخ.	twenties	male
981	ara_tst_sp_12	common_voice_ar_21101385.wav	! أنزِل يديك	twenties	female
1195	ara_tst_sp_24	common_voice_ar_19351512.wav	ترجم هذه الجملة إلى الإنجليزية.	not_defined	not_defined
1211	ara_tst_sp_25	common_voice_ar_19220380.wav	متى ينتهي ذلك ؟	twenties	male
1052	ara_tst_sp_16	common_voice_ar_21374282.wav	وارض الله واسعة ولكن اذا نزل القضاء ضاق الفضاء	twenties	male
1187	ara_tst_sp_24	common_voice_ar_19351483.wav	استمرت المحاضرة ساعتين.	not_defined	not_defined
1099	ara_tst_sp_19	common_voice_ar_19060104.wav	الحمد لله.	not_defined	not_defined
999	ara_tst_sp_13	common_voice_ar_19653546.wav	عليك أن تنام.	teens	male
1142	ara_tst_sp_21	common_voice_ar_20275171.wav	العلم يرفع بيتاً لا عماد له والجهل يهدم بيت العز والشرف	twenties	female
1091	ara_tst_sp_18	common_voice_ar_19204338.wav	أعطاني توم قلماً.	not_defined	not_defined
846	ara_tst_sp_2	common_voice_ar_19489432.wav	عليك الذهاب.	thirties	male
830	ara_tst_sp_1	common_voice_ar_19224862.wav	.الصين غنية بالموارد الطبيعية	not_defined	not_defined
1053	ara_tst_sp_16	common_voice_ar_21374294.wav	.عادة ما أراه	twenties	male
1080	ara_tst_sp_18	common_voice_ar_19204287.wav	.نحن نتعلم بالتجربة	not_defined	not_defined
963	ara_tst_sp_10	common_voice_ar_19233877.wav	لدي صداع في رأسي.	twenties	male
916	ara_tst_sp_7	common_voice_ar_19897132.wav	أكلت الصبر وذقت المر فلم أرى شيئا أمر من الفقر.	not_defined	not_defined
835	ara_tst_sp_1	common_voice_ar_19224888.wav	عرّفني بأختها.	not_defined	not_defined
995	ara_tst_sp_13	common_voice_ar_19653457.wav	أنا جوعان.	teens	male
955	ara_tst_sp_10	common_voice_ar_19233861.wav	هل هذا هو الحب ؟	twenties	male
845	ara_tst_sp_2	common_voice_ar_19489431.wav	أقلعت عن التدخين منذ سنة.	thirties	male
977	ara_tst_sp_11	common_voice_ar_19206446.wav	لدي مغص.	not_defined	not_defined
1021	ara_tst_sp_14	common_voice_ar_21310457.wav	هل أصبت بالبرد ؟	twenties	male
986	ara_tst_sp_12	common_voice_ar_21101454.wav	.يبدو أن العصافة هدأت	twenties	female
1036	ara_tst_sp_15	common_voice_ar_19245975.wav	اعتقدت أنني طبيب.	not_defined	not_defined
1112	ara_tst_sp_20	common_voice_ar_19664564.wav	أيمكنني أن أستعير سِكّينَك ؟	twenties	male
1131	ara_tst_sp_21	common_voice_ar_20275122.wav	نيويورك مدينة كبيرة.	twenties	female
872	ara_tst_sp_4	common_voice_ar_19947196.wav	قابلنا كاتباً.	not_defined	not_defined
1233	ara_tst_sp_26	common_voice_ar_19203945.wav	.لا تتسرع بالإجابة	twenties	male
993	ara_tst_sp_13	common_voice_ar_19653473.wav	لدي قلم.	teens	male
1038	ara_tst_sp_15	common_voice_ar_19246012.wav	.الكتابُ سهلٌ	not_defined	not_defined
1191	ara_tst_sp_24	common_voice_ar_19351507.wav	.في هذه الظروف ، لا يمكننا النجاح	not_defined	not_defined
841	ara_tst_sp_1	common_voice_ar_19224914.wav	.الأرض ، المريخ ، و المشتري كلهم كواكب	not_defined	not_defined
852	ara_tst_sp_2	common_voice_ar_19489450.wav	أخذت تبكي.	thirties	male
1084	ara_tst_sp_18	common_voice_ar_19204319.wav	هل تذهب إلى المدرسة بالباص ؟	not_defined	not_defined
875	ara_tst_sp_4	common_voice_ar_19947207.wav	ماذا صنعت ؟	not_defined	not_defined
1168	ara_tst_sp_23	common_voice_ar_19220435.wav	كان يقف وراء الباب.	not_defined	not_defined
988	ara_tst_sp_12	common_voice_ar_21101478.wav	أنت محق تماماً!	twenties	female
982	ara_tst_sp_12	common_voice_ar_21101393.wav	كان معه مئة ين فقط.	twenties	female
1081	ara_tst_sp_18	common_voice_ar_19204288.wav	فكرة جيدة أن نلعب الشوقي بعد الغداء.	not_defined	not_defined
1194	ara_tst_sp_24	common_voice_ar_19351498.wav	هذا الشبل من ذاك الأسد	not_defined	not_defined
1222	ara_tst_sp_25	common_voice_ar_19220406.wav	هل أنهيت واجباتك ؟	twenties	male
918	ara_tst_sp_7	common_voice_ar_19897133.wav	لا تقلق عليّ.	not_defined	not_defined
1024	ara_tst_sp_14	common_voice_ar_21314822.wav	هل فهمت ؟	twenties	male
970	ara_tst_sp_11	common_voice_ar_19206429.wav	.لا أقدر أن أسامحه على ما فعل	not_defined	not_defined
950	ara_tst_sp_9	common_voice_ar_19666413.wav	! عيد ميلاد سعيد ميوريل	not_defined	not_defined
1170	ara_tst_sp_23	common_voice_ar_19220438.wav	لم يرد أحد على الهاتف.	not_defined	not_defined
1109	ara_tst_sp_19	common_voice_ar_19302449.wav	وحتى في وقت مبكر من الرحلة ، أيضا	not_defined	not_defined
1165	ara_tst_sp_22	common_voice_ar_19204775.wav	أيمكنني أن أستعير مضرب التنس خاصتك لليوم ؟	not_defined	not_defined
863	ara_tst_sp_3	common_voice_ar_19728779.wav	افتقدتك كثيراً!	twenties	male
946	ara_tst_sp_9	common_voice_ar_19666412.wav	لا تدع الفرصة تفوتك.	not_defined	not_defined
992	ara_tst_sp_12	common_voice_ar_21101495.wav	يا لك من وقح!	twenties	female
1230	ara_tst_sp_26	common_voice_ar_19203940.wav	إبحث تجد.	twenties	male
913	ara_tst_sp_7	common_voice_ar_19897044.wav	إنه على وشك المغادرة إلى كندا.	not_defined	not_defined
1127	ara_tst_sp_20	common_voice_ar_19664758.wav	.فشل تلو الآخر	twenties	male
1162	ara_tst_sp_22	common_voice_ar_19204777.wav	هل أنت صينية أم يابانية ؟	not_defined	not_defined
1148	ara_tst_sp_22	common_voice_ar_19204606.wav	.أحضرها لي	not_defined	not_defined
874	ara_tst_sp_4	common_voice_ar_19947206.wav	ما رأيك في خطاب الرئيس ؟	not_defined	not_defined
878	ara_tst_sp_4	common_voice_ar_19947224.wav	للنادي ثلاثون مشترك.	not_defined	not_defined
1087	ara_tst_sp_18	common_voice_ar_19204315.wav	ليس لدينا خيار سوى الانتظار قليلا من اجل المقاعد.	not_defined	not_defined
848	ara_tst_sp_2	common_voice_ar_19489435.wav	سجلت رقم هاتفه.	thirties	male
1238	ara_tst_sp_26	common_voice_ar_19203952.wav	هل غرفتي حضيرة للخنازير ؟	twenties	male
883	ara_tst_sp_5	common_voice_ar_19259855.wav	.أعد الكتاب إلى صاحبه	twenties	male
859	ara_tst_sp_3	common_voice_ar_19728763.wav	يمكنك استعارة الكتاب بشرط أن تحافظ عليه.	twenties	male
952	ara_tst_sp_10	common_voice_ar_19233797.wav	عليك أن تؤدي واجباتك حالاً.	twenties	male
1145	ara_tst_sp_21	common_voice_ar_20275187.wav	.خذ الكرسي الآخر	twenties	female
1014	ara_tst_sp_14	common_voice_ar_21310273.wav	هل تسكن هنا ؟	twenties	male
1114	ara_tst_sp_20	common_voice_ar_19664565.wav	.تبدو شاحب الوجه	twenties	male
1100	ara_tst_sp_19	common_voice_ar_19060107.wav	خذ مظلة معك في حال أمطرت.	not_defined	not_defined
980	ara_tst_sp_12	common_voice_ar_21101360.wav	علينا أن نتوقع الأسوأ.	twenties	female
1013	ara_tst_sp_14	common_voice_ar_21310242.wav	أحب القطط والكلاب.	twenties	male
962	ara_tst_sp_10	common_voice_ar_19233876.wav	لدي ثلاث أولاد خالة.	twenties	male
937	ara_tst_sp_9	common_voice_ar_19666354.wav	.انتظر قليلاً	not_defined	not_defined
910	ara_tst_sp_6	common_voice_ar_19706667.wav	رفضت المال.	twenties	female
884	ara_tst_sp_5	common_voice_ar_19259854.wav	.لا أستطيع رؤية شيء	twenties	male
1134	ara_tst_sp_21	common_voice_ar_20275154.wav	.تأخرنا بسبب العاصفة	twenties	female
1204	ara_tst_sp_25	common_voice_ar_19220362.wav	إنها تمطر بشدة.	twenties	male
882	ara_tst_sp_4	common_voice_ar_19947212.wav	كانت يومي غاضبة بعض الشيء.	not_defined	not_defined
1023	ara_tst_sp_14	common_voice_ar_21310497.wav	إنه أصعب مما تظن.	twenties	male
1245	ara_tst_sp_26	common_voice_ar_19203956.wav	.هذه ملاحظة في غاية الأهمية	twenties	male
1189	ara_tst_sp_24	common_voice_ar_19351499.wav	.قل آآآآآه	not_defined	not_defined
945	ara_tst_sp_9	common_voice_ar_19666400.wav	عطلة البنوك في بريطانيا أشبه بعطلة عامة في أمريكا	not_defined	not_defined
1118	ara_tst_sp_20	common_voice_ar_19664698.wav	هذه قصة حقيقية.	twenties	male
901	ara_tst_sp_6	common_voice_ar_19706363.wav	.اخلع نعلَيْك	twenties	female
860	ara_tst_sp_3	common_voice_ar_19728764.wav	علي أن أبقى في السرير طوال اليوم.	twenties	male
861	ara_tst_sp_3	common_voice_ar_19728776.wav	.سوف أسافر في مارس-آذار	twenties	male
958	ara_tst_sp_10	common_voice_ar_19233880.wav	توقف جاك فجأة عن الكلام عندما دخلت ماري إلى الغرفة.	twenties	male
1058	ara_tst_sp_17	common_voice_ar_19794793.wav	هى غائبة بسبب المرض.	fourties	male
890	ara_tst_sp_5	common_voice_ar_19259861.wav	حل الربيع.	twenties	male
905	ara_tst_sp_6	common_voice_ar_19706402.wav	شاهدنا فلماً مضحكاً يوم الأحد الماضي.	twenties	female
1132	ara_tst_sp_21	common_voice_ar_20275121.wav	هل دفعت ثمن الكتاب ؟	twenties	female
1495	ara_trn_sp_12	common_voice_ar_20401372.wav	عليك أن تفي بوعدك.	twenties	male
1258	ara_trn_sp_11	common_voice_ar_19216539.wav	يشبه أباه.	twenties	female
789	ara_trn_sp_197	common_voice_ar_19375914.wav	لن يُغَيِّرَ ذلك شيئًا.	fourties	male
765	ara_trn_sp_194	common_voice_ar_19220386.wav	كيف حال الجميع ؟	not_defined	not_defined
81	ara_trn_sp_66	common_voice_ar_19803329.wav	أتعرف كيف تلعب الشطرنج ؟	not_defined	not_defined
475	ara_trn_sp_161	common_voice_ar_20026829.wav	أريد أن آكل في مطعم الليلة.	thirties	female
266	ara_trn_sp_3	common_voice_ar_19529991.wav	لقد مضت أربعون سنة.	twenties	male
1705	ara_trn_sp_13	common_voice_ar_19083375.wav	ماذا تطبخ ؟	thirties	female
173	ara_trn_sp_94	common_voice_ar_19380209.wav	في وقت واحد سيتم إنشاء عشرات من دول الكومنولث التعاونية	not_defined	not_defined
225	ara_trn_sp_109	common_voice_ar_19476981.wav	هذه فكرة جيدة!	not_defined	not_defined
740	ara_trn_sp_192	common_voice_ar_19205882.wav	هل تحبان بعضكما البعض بشدة ؟	not_defined	not_defined
283	ara_trn_sp_122	common_voice_ar_19204113.wav	انتقد بورك نفسه بسبب الابتسامة	thirties	male
538	ara_trn_sp_169	common_voice_ar_21100471.wav	جلست بجانبي.	not_defined	not_defined
71	ara_trn_sp_63	common_voice_ar_19850609.wav	مهما قلت عنه ، اظن انه صادق.	fourties	male
234	ara_trn_sp_111	common_voice_ar_19285863.wav	ما أسهل أن يكتسب المرء عادات سيئة!	thirties	male
2185	ara_trn_sp_16	common_voice_ar_19471957.wav	سيسعدني أن أساعدك في أي وقت.	not_defined	not_defined
103	ara_trn_sp_74	common_voice_ar_20312018.wav	متى وصلت ؟	not_defined	not_defined
233	ara_trn_sp_111	common_voice_ar_19285859.wav	من بحث وجد.	thirties	male
694	ara_trn_sp_187	common_voice_ar_19541088.wav	.في كندا لا يمكنك شرب الكحول حتى تبلغ سن العشرين	twenties	female
766	ara_trn_sp_194	common_voice_ar_19220365.wav	كعكتك شهية.	not_defined	not_defined
551	ara_trn_sp_171	common_voice_ar_19651948.wav	لكل داء دواء	twenties	male
529	ara_trn_sp_168	common_voice_ar_19231212.wav	إنا نعيش في عصر الذّرّة.	not_defined	not_defined
421	ara_trn_sp_151	common_voice_ar_19647457.wav	أنا مهندس حاسب آلي.	not_defined	not_defined
222	ara_trn_sp_108	common_voice_ar_19212444.wav	ملأت كيسها بالتفاح.	not_defined	not_defined
731	ara_trn_sp_191	common_voice_ar_19233448.wav	أيمكنك رؤية الفرق ؟	twenties	male
658	ara_trn_sp_183	common_voice_ar_21262385.wav	ليس عليك أن تدرس.	twenties	male
558	ara_trn_sp_172	common_voice_ar_20907897.wav	تعرّض للإصابة عندما كان يلعب الركبي.	not_defined	not_defined
231	ara_trn_sp_110	common_voice_ar_19222360.wav	إتفقوا على انتخابه رئيساً.	not_defined	not_defined
312	ara_trn_sp_4	common_voice_ar_19205154.wav	.يا له من كلب كبير	twenties	male
668	ara_trn_sp_184	common_voice_ar_19236913.wav	أحب قصص الغرام.	not_defined	not_defined
75	ara_trn_sp_64	common_voice_ar_19533052.wav	أعرف اسمه.	not_defined	not_defined
82	ara_trn_sp_67	common_voice_ar_19382768.wav	.الأمل ليس استراتيجية	not_defined	not_defined
896	ara_trn_sp_8	common_voice_ar_19228437.wav	كنت مشغولاً.	twenties	female
665	ara_trn_sp_184	common_voice_ar_19236912.wav	رجل ميت ليس له فائدة في المزرعة	not_defined	not_defined
651	ara_trn_sp_6	common_voice_ar_19855706.wav	.اِقطع الكعكة بالسكين	twenties	female
110	ara_trn_sp_77	common_voice_ar_19375159.wav	القرار النهائي بيد الطلبة.	not_defined	not_defined
659	ara_trn_sp_183	common_voice_ar_21262384.wav	المشتري هو أضخم كوكب في المجموعة الشمسية.	twenties	male
528	ara_trn_sp_5	common_voice_ar_19179148.wav	.لا تتحدى من ليس لديه ما يخسره	thirties	female
439	ara_trn_sp_155	common_voice_ar_20179031.wav	اِسمح لي أن أعرّفك بمايوكو.	not_defined	not_defined
337	ara_trn_sp_133	common_voice_ar_19204603.wav	.يبدو المعطف الأحمر جميلاً عليك	not_defined	not_defined
123	ara_trn_sp_82	common_voice_ar_19219147.wav	في البداية واجه صعوبة في التأقلم مع بيته الجديد.	thirties	male
292	ara_trn_sp_123	common_voice_ar_19330414.wav	هيا بنا!	not_defined	not_defined
757	ara_trn_sp_194	common_voice_ar_19220364.wav	إنه صعب أن أتحدث ثلاث لغات	not_defined	not_defined
815	ara_trn_sp_199	common_voice_ar_19968536.wav	خدعها.	not_defined	not_defined
453	ara_trn_sp_157	common_voice_ar_19540848.wav	تستخدم شاحنة التزجيج في رصف الطرق عندما يتوقع الصقيع بين عشية وضحاها	not_defined	not_defined
514	ara_trn_sp_166	common_voice_ar_20429386.wav	هذا هو الباقي.	fourties	male
332	ara_trn_sp_132	common_voice_ar_19164211.wav	.إذا ابتسم المهزوم أفقد المنتصر لذة الفوز	twenties	male
510	ara_trn_sp_166	common_voice_ar_20429178.wav	ابحث عن وظيفة جيّدة.	fourties	male
326	ara_trn_sp_130	common_voice_ar_19579951.wav	.منزلك أكبر من منزلي بثلاث مرات	twenties	male
109	ara_trn_sp_76	common_voice_ar_19527482.wav	بإمكانك أن تطلب منه المساعدة.	not_defined	not_defined
1861	ara_trn_sp_15	common_voice_ar_19227733.wav	سأترك القرار الأخير لك.	twenties	male
798	ara_trn_sp_198	common_voice_ar_19204870.wav	طاب مساؤك. أحلام سعيدة .	not_defined	not_defined
504	ara_trn_sp_5	common_voice_ar_19177070.wav	أحسن إلى الناس تستعبد قلوبهم فطالما استعبد الإنسان إحسان	thirties	female
412	ara_trn_sp_149	common_voice_ar_19244092.wav	.هناك بعبع تحت سريري	twenties	male
358	ara_trn_sp_138	common_voice_ar_19205289.wav	درست اللغة الإنجليزية حين كنت هناك.	not_defined	not_defined
387	ara_trn_sp_144	common_voice_ar_19204506.wav	إنك تعيبني دائماً.	not_defined	not_defined
197	ara_trn_sp_101	common_voice_ar_19785103.wav	لا أعرف شيئاً عن ماضيه.	not_defined	not_defined
444	ara_trn_sp_156	common_voice_ar_21099403.wav	هي ممرضة.	twenties	male
778	ara_trn_sp_196	common_voice_ar_21172250.wav	لا أستطيع أن أجد أي خطأ في نظريته.	thirties	male
777	ara_trn_sp_196	common_voice_ar_21172259.wav	أحدهم يتصل بك.	thirties	male
544	ara_trn_sp_170	common_voice_ar_20137009.wav	هذه الجملة ليس لها أي معنى.	thirties	male
180	ara_trn_sp_96	common_voice_ar_20023514.wav	كل من فهمني هم حفنة من الناس.	not_defined	not_defined
232	ara_trn_sp_111	common_voice_ar_19285862.wav	هذا الكرسي يحتاج إلى الإصلاح.	thirties	male
334	ara_trn_sp_132	common_voice_ar_19164212.wav	.من فضلك إلغِ هذا الملفّ	twenties	male
546	ara_trn_sp_170	common_voice_ar_20137010.wav	أنا أحاول أن أنام.	thirties	male
413	ara_trn_sp_4	common_voice_ar_19234757.wav	أنا لستُ سعيدة.	twenties	male
92	ara_trn_sp_70	common_voice_ar_19314633.wav	كيف حال الطقس ؟	teens	male
352	ara_trn_sp_4	common_voice_ar_19234589.wav	إنه لا يسكن في نفس الحي الذي أعيش فيه.	twenties	male
774	ara_trn_sp_195	common_voice_ar_20444748.wav	حصل بيري منه على معلومات هامة.	not_defined	not_defined
98	ara_trn_sp_2	common_voice_ar_19061962.wav	هل ستغني ؟	thirties	female
781	ara_trn_sp_7	common_voice_ar_19194227.wav	أتوقعت أن يقول الحقيقة ؟	teens	female
338	ara_trn_sp_133	common_voice_ar_19204608.wav	في الجزء العلوي من كومة المدخنة ، يمكنك رؤية وعاء المدخنة	not_defined	not_defined
582	ara_trn_sp_175	common_voice_ar_20354933.wav	لقد انتهى كل شيء بالنسبة لي. لقد فقدت عملي.	twenties	male
618	ara_trn_sp_179	common_voice_ar_20016681.wav	أين توني ؟	thirties	female
202	ara_trn_sp_102	common_voice_ar_19963354.wav	.ستبدأ المسرحية في الساعة الثامنة	twenties	male
801	ara_trn_sp_198	common_voice_ar_19204868.wav	""" كم عمرك ؟ "" "" ستة عشر عاماً """	not_defined	not_defined
663	ara_trn_sp_6	common_voice_ar_20065664.wav	.النهار يتبع الليل	twenties	female
